,Number of people who will provide maintenance,Loan History,Purpose of taking loan,loan amount taken,Guarantor or Debtor,Number of years of employment,Marital Status,Number of loans taken from current bank,Age of the applicant in Number of Years,amount in current account,amount in savings account,% of income paid as installment,Other loans plans taken,Working abroad or not,Is there telephone number available,time duration for loan,Owned property,Type of job performed,Type of Housing,Number of years of stay in current address,Loan Defaulted or not,1=defaulted
422,1,critical account/other loans existing (not at this bank),Loan for business establishment,5954,none,greater than 4 years,female and divorced/seperated/married,2,41,between 0 and 200,less than 100,2,bank,Yes,No,42,Real Estate,unskilled - resident,own,1,1,
423,1,critical account/other loans existing (not at this bank),Education Loan,1047,none,between 1 and 4 years,female and divorced/seperated/married,1,50,greater than 200,less than 100,2,none,Yes,No,6,building society savings agreement/life insurance,unskilled - resident,own,4,1,
424,1,existing loans paid back duly till now,Purchase of radio/television,2753,co-applicant,,male and single,1,35,no current account,between 100 and 500,3,none,Yes,Yes,9,car or other property,skilled employee / official,own,4,1,
425,1,delay in paying off loans in the past,Old Car Repair,3594,none,less than a year,female and divorced/seperated/married,2,46,no current account,less than 100,1,none,Yes,No,15,building society savings agreement/life insurance,unskilled - resident,own,2,1,
426,1,critical account/other loans existing (not at this bank),Education Loan,1864,none,between 1 and 4 years,female and divorced/seperated/married,2,30,no current account,between 100 and 500,4,none,Yes,No,18,Real Estate,skilled employee / official,own,2,2,
427,1,existing loans paid back duly till now,Purchase of radio/television,1331,none,less than a year,male and single,1,22,between 0 and 200,less than 100,2,stores,Yes,No,12,car or other property,skilled employee / official,own,1,2,
428,2,existing loans paid back duly till now,Purchase of radio/television,2522,gaurantor,,male and single,1,39,less than 0,less than 100,1,none,Yes,No,30,building society savings agreement/life insurance,skilled employee / official,own,3,1,
429,1,existing loans paid back duly till now,Purchase of domestic appliances,343,none,less than a year,female and divorced/seperated/married,1,27,less than 0,less than 100,4,none,Yes,No,6,Real Estate,skilled employee / official,own,1,1,
430,1,critical account/other loans existing (not at this bank),Old Car Repair,4042,none,greater than 4 years,male and single,2,43,no current account,no savings account,3,none,Yes,Yes,24,building society savings agreement/life insurance,skilled employee / official,own,4,1,
431,1,critical account/other loans existing (not at this bank),Purchase of radio/television,1237,none,between 1 and 4 years,female and divorced/seperated/married,2,27,no current account,between 100 and 500,1,none,Yes,No,6,building society savings agreement/life insurance,skilled employee / official,own,1,1,
432,1,existing loans paid back duly till now,Old Car Repair,2779,none,between 1 and 4 years,male and married/widowed,1,21,between 0 and 200,less than 100,1,none,Yes,Yes,18,car or other property,skilled employee / official,rent,3,1,
433,1,existing loans paid back duly till now,New Car Purchase,1364,none,between 1 and 4 years,female and divorced/seperated/married,1,64,no current account,less than 100,2,none,Yes,Yes,10,car or other property,skilled employee / official,own,4,1,
434,1,delay in paying off loans in the past,New Car Purchase,2247,none,between 1 and 4 years,female and divorced/seperated/married,2,36,greater than 200,less than 100,2,stores,Yes,Yes,12,car or other property,skilled employee / official,own,2,1,
435,1,existing loans paid back duly till now,Education Loan,1199,none,greater than 4 years,female and divorced/seperated/married,2,67,between 0 and 200,less than 100,4,none,Yes,Yes,9,building society savings agreement/life insurance,management/ self-employed/highly qualified employee/ officer,own,4,1,
436,1,existing loans paid back duly till now,Purchase of furniture/equipment,2301,none,less than a year,female and divorced/seperated/married,1,22,no current account,between 100 and 500,2,none,Yes,No,9,building society savings agreement/life insurance,skilled employee / official,rent,4,1,
437,1,existing loans paid back duly till now,Old Car Repair,12976,none,unemployed,female and divorced/seperated/married,1,38,between 0 and 200,less than 100,3,none,Yes,Yes,18,No property,management/ self-employed/highly qualified employee/ officer,for free,4,2,
438,1,existing loans paid back duly till now,Purchase of radio/television,2675,none,,male and single,1,40,no current account,between 500 and 1000,3,none,Yes,No,22,car or other property,skilled employee / official,own,4,1,
439,1,existing loans paid back duly till now,Purchase of radio/television,590,none,less than a year,male and married/widowed,1,26,between 0 and 200,less than 100,3,none,No,No,6,Real Estate,unskilled - resident,own,3,1,
440,1,existing loans paid back duly till now,Purchase of furniture/equipment,5511,none,between 1 and 4 years,male and single,1,25,no current account,between 100 and 500,4,stores,Yes,No,24,car or other property,skilled employee / official,own,1,1,
441,2,critical account/other loans existing (not at this bank),New Car Purchase,884,none,,male and single,1,36,between 0 and 200,less than 100,4,bank,Yes,Yes,18,car or other property,skilled employee / official,own,4,2,
442,1,delay in paying off loans in the past,Purchase of furniture/equipment,4297,none,,male and divorced/seperated,1,40,between 0 and 200,less than 100,4,none,Yes,Yes,18,No property,management/ self-employed/highly qualified employee/ officer,own,3,2,
443,1,existing loans paid back duly till now,Purchase of radio/television,1386,none,between 1 and 4 years,male and married/widowed,1,40,no current account,no savings account,4,none,Yes,Yes,15,Real Estate,skilled employee / official,rent,2,1,
444,1,delay in paying off loans in the past,Purchase of radio/television,1659,none,less than a year,female and divorced/seperated/married,1,29,less than 0,less than 100,4,none,Yes,Yes,24,car or other property,unskilled - resident,rent,2,2,
445,1,critical account/other loans existing (not at this bank),Old Car Repair,5804,none,between 1 and 4 years,male and single,2,27,no current account,greater than 1000,4,none,Yes,No,24,Real Estate,skilled employee / official,own,2,1,
446,1,existing loans paid back duly till now,Purchase of furniture/equipment,1313,none,,male and single,1,20,no current account,less than 100,1,none,Yes,No,9,car or other property,skilled employee / official,own,4,1,
447,1,existing loans paid back duly till now,Old Car Repair,8133,none,between 1 and 4 years,female and divorced/seperated/married,1,30,no current account,less than 100,1,bank,Yes,No,36,building society savings agreement/life insurance,skilled employee / official,own,2,1,
448,1,existing loans paid back duly till now,Purchase of radio/television,10144,none,greater than 4 years,female and divorced/seperated/married,1,21,no current account,between 100 and 500,2,none,Yes,Yes,60,Real Estate,skilled employee / official,own,4,1,
449,1,critical account/other loans existing (not at this bank),Purchase of furniture/equipment,2146,none,less than a year,female and divorced/seperated/married,2,23,no current account,less than 100,1,none,Yes,No,10,Real Estate,skilled employee / official,rent,3,1,
450,1,existing loans paid back duly till now,Purchase of radio/television,1901,none,between 1 and 4 years,male and single,1,29,no current account,between 100 and 500,4,none,Yes,Yes,24,car or other property,management/ self-employed/highly qualified employee/ officer,rent,4,1,
451,2,existing loans paid back duly till now,Old Car Repair,10297,none,greater than 4 years,male and single,3,39,less than 0,less than 100,4,stores,Yes,Yes,48,No property,skilled employee / official,for free,4,2,
452,1,existing loans paid back duly till now,Purchase of furniture/equipment,2406,none,greater than 4 years,female and divorced/seperated/married,1,23,less than 0,less than 100,4,none,Yes,No,30,Real Estate,skilled employee / official,rent,4,2,
453,1,existing loans paid back duly till now,Purchase of furniture/equipment,2251,none,between 1 and 4 years,female and divorced/seperated/married,1,46,greater than 200,less than 100,1,none,Yes,No,12,car or other property,unskilled - resident,own,2,1,
454,1,existing loans paid back duly till now,Purchase of furniture/equipment,1925,none,between 1 and 4 years,male and single,1,26,greater than 200,less than 100,2,none,Yes,No,24,Real Estate,skilled employee / official,own,2,1,
455,1,existing loans paid back duly till now,Purchase of radio/television,2384,none,,male and single,1,64,less than 0,less than 100,4,bank,Yes,No,24,Real Estate,unskilled - resident,rent,4,1,
456,1,existing loans paid back duly till now,Loan for business establishment,1076,none,between 1 and 4 years,male and married/widowed,1,26,no current account,less than 100,2,none,No,Yes,12,Real Estate,skilled employee / official,own,2,1,
457,1,critical account/other loans existing (not at this bank),Purchase of radio/television,5771,none,greater than 4 years,female and divorced/seperated/married,2,25,no current account,less than 100,4,none,Yes,No,30,car or other property,skilled employee / official,own,2,1,
458,2,existing loans paid back duly till now,New Car Purchase,2002,none,greater than 4 years,male and single,1,30,between 0 and 200,less than 100,3,none,Yes,Yes,12,building society savings agreement/life insurance,skilled employee / official,rent,4,1,
459,1,critical account/other loans existing (not at this bank),New Car Purchase,731,none,,male and single,2,47,less than 0,less than 100,4,none,Yes,No,8,Real Estate,unskilled - resident,own,4,1,
460,1,existing loans paid back duly till now,Purchase of furniture/equipment,2116,none,between 1 and 4 years,male and single,1,41,greater than 200,less than 100,2,none,Yes,Yes,6,Real Estate,skilled employee / official,own,2,1,
461,1,delay in paying off loans in the past,Loan for business establishment,1743,none,between 1 and 4 years,male and single,2,34,no current account,between 100 and 500,1,none,Yes,No,6,Real Estate,unskilled - resident,own,2,1,
462,1,delay in paying off loans in the past,,2629,none,between 1 and 4 years,male and single,2,29,between 0 and 200,less than 100,2,bank,Yes,Yes,20,car or other property,skilled employee / official,own,3,1,
463,1,existing loans paid back duly till now,Purchase of furniture/equipment,3959,none,unemployed,male and single,1,30,less than 0,less than 100,4,none,Yes,Yes,36,building society savings agreement/life insurance,management/ self-employed/highly qualified employee/ officer,own,3,1,
464,2,critical account/other loans existing (not at this bank),New Car Purchase,1455,none,greater than 4 years,male and single,3,42,no current account,less than 100,2,none,Yes,No,4,Real Estate,unskilled - resident,own,1,1,
465,1,existing loans paid back duly till now,Loan for business establishment,2687,none,greater than 4 years,male and single,1,26,greater than 200,less than 100,2,none,Yes,Yes,15,building society savings agreement/life insurance,skilled employee / official,rent,4,1,
466,1,existing loans paid back duly till now,Purchase of radio/television,760,gaurantor,greater than 4 years,female and divorced/seperated/married,1,44,between 0 and 200,less than 100,4,none,Yes,No,8,Real Estate,unskilled - resident,own,2,1,
467,1,existing loans paid back duly till now,New Car Purchase,1469,none,,male and married/widowed,1,41,no current account,between 100 and 500,4,none,Yes,No,24,Real Estate,unskilled - resident,rent,4,1,
468,1,critical account/other loans existing (not at this bank),New Car Purchase,2134,none,between 1 and 4 years,male and single,3,48,no current account,less than 100,4,none,Yes,Yes,9,car or other property,skilled employee / official,own,4,1,
469,1,existing loans paid back duly till now,New Car Purchase,1309,gaurantor,between 1 and 4 years,male and single,1,27,no current account,no savings account,4,none,Yes,No,10,building society savings agreement/life insurance,unskilled - resident,own,4,2,
470,1,delay in paying off loans in the past,Loan for business establishment,8648,none,less than a year,male and single,2,27,no current account,less than 100,2,bank,Yes,Yes,24,car or other property,skilled employee / official,own,2,2,
471,1,existing loans paid back duly till now,Other repairs,1943,none,less than a year,female and divorced/seperated/married,1,23,no current account,less than 100,4,none,Yes,No,18,Real Estate,skilled employee / official,own,4,2,
472,1,existing loans paid back duly till now,Purchase of radio/television,458,none,between 1 and 4 years,male and single,1,24,between 0 and 200,less than 100,4,none,Yes,No,9,Real Estate,skilled employee / official,own,3,1,
473,1,existing loans paid back duly till now,Loan for retraining,894,none,greater than 4 years,female and divorced/seperated/married,1,40,no current account,no savings account,4,none,Yes,Yes,10,building society savings agreement/life insurance,skilled employee / official,own,3,1,
474,1,existing loans paid back duly till now,New Car Purchase,2923,none,between 1 and 4 years,female and divorced/seperated/married,1,28,greater than 200,between 100 and 500,1,bank,Yes,Yes,21,car or other property,management/ self-employed/highly qualified employee/ officer,own,1,1,
475,1,existing loans paid back duly till now,Purchase of furniture/equipment,2762,none,,female and divorced/seperated/married,1,25,between 0 and 200,no savings account,1,bank,Yes,Yes,12,building society savings agreement/life insurance,skilled employee / official,own,2,2,
476,1,no loans taken/all loans paid back duly,Other repairs,2613,none,between 1 and 4 years,male and single,2,27,no current account,less than 100,4,none,Yes,No,36,car or other property,skilled employee / official,own,2,1,
477,1,existing loans paid back duly till now,New Car Purchase,2150,gaurantor,between 1 and 4 years,female and divorced/seperated/married,1,24,between 0 and 200,less than 100,4,bank,Yes,No,30,No property,skilled employee / official,own,2,2,
478,1,critical account/other loans existing (not at this bank),Purchase of radio/television,976,none,,male and single,2,35,no current account,no savings account,4,none,Yes,No,12,car or other property,skilled employee / official,own,4,1,
479,1,critical account/other loans existing (not at this bank),Purchase of furniture/equipment,1592,none,greater than 4 years,female and divorced/seperated/married,1,35,no current account,greater than 1000,3,none,No,No,12,building society savings agreement/life insurance,skilled employee / official,own,2,1,
480,1,delay in paying off loans in the past,Purchase of furniture/equipment,4151,none,between 1 and 4 years,male and single,2,35,no current account,between 100 and 500,2,none,Yes,No,24,building society savings agreement/life insurance,skilled employee / official,own,3,1,
481,1,all loans at this bank paid back duly,Purchase of furniture/equipment,6872,none,less than a year,male and divorced/seperated,1,55,less than 0,less than 100,2,bank,Yes,Yes,24,building society savings agreement/life insurance,skilled employee / official,own,1,2,
482,1,existing loans paid back duly till now,Purchase of furniture/equipment,1768,none,between 1 and 4 years,male and single,1,24,no current account,less than 100,3,none,Yes,No,12,Real Estate,unskilled - resident,rent,2,1,
483,1,critical account/other loans existing (not at this bank),Loan for business establishment,1382,none,greater than 4 years,male and single,2,26,less than 0,between 100 and 500,4,none,Yes,Yes,24,Real Estate,skilled employee / official,own,1,1,
484,1,existing loans paid back duly till now,New Car Purchase,1207,none,less than a year,female and divorced/seperated/married,1,24,less than 0,less than 100,4,none,Yes,No,24,building society savings agreement/life insurance,skilled employee / official,rent,4,2,
485,2,no loans taken/all loans paid back duly,Loan for business establishment,3844,none,greater than 4 years,male and single,1,34,between 0 and 200,between 100 and 500,4,none,Yes,No,48,No property,unskilled - resident,for free,4,2,
486,2,all loans at this bank paid back duly,Old Car Repair,7824,gaurantor,less than a year,male and single,2,40,no current account,no savings account,3,bank,Yes,Yes,28,Real Estate,skilled employee / official,rent,4,1,
487,1,existing loans paid back duly till now,New Car Purchase,1168,none,between 1 and 4 years,male and married/widowed,1,27,less than 0,less than 100,4,none,Yes,No,12,Real Estate,unskilled - resident,own,3,1,
488,1,existing loans paid back duly till now,Purchase of radio/television,1053,none,less than a year,male and married/widowed,1,27,less than 0,less than 100,4,none,No,No,15,Real Estate,skilled employee / official,own,2,1,
489,1,all loans at this bank paid back duly,Purchase of radio/television,1940,co-applicant,less than a year,male and single,1,36,less than 0,less than 100,3,bank,Yes,Yes,18,No property,management/ self-employed/highly qualified employee/ officer,for free,4,1,
490,1,existing loans paid back duly till now,Purchase of radio/television,1938,none,less than a year,male and divorced/seperated,1,32,less than 0,less than 100,4,none,Yes,No,24,building society savings agreement/life insurance,skilled employee / official,own,3,2,
491,1,existing loans paid back duly till now,Purchase of furniture/equipment,1984,none,between 1 and 4 years,male and single,2,47,no current account,less than 100,4,bank,Yes,No,18,No property,skilled employee / official,for free,4,1,
492,1,critical account/other loans existing (not at this bank),New Car Purchase,13756,none,,male and single,1,63,no current account,no savings account,2,bank,Yes,Yes,60,No property,management/ self-employed/highly qualified employee/ officer,for free,4,1,
493,2,existing loans paid back duly till now,Education Loan,684,none,between 1 and 4 years,male and single,1,40,less than 0,less than 100,4,none,Yes,No,12,car or other property,unskilled - resident,rent,4,2,
494,1,existing loans paid back duly till now,Purchase of domestic appliances,1217,none,between 1 and 4 years,male and married/widowed,1,47,less than 0,less than 100,4,none,Yes,Yes,18,Real Estate,unskilled - resident,own,3,2,
495,1,existing loans paid back duly till now,New Car Purchase,1042,none,between 1 and 4 years,female and divorced/seperated/married,1,33,between 0 and 200,no savings account,4,none,Yes,No,18,building society savings agreement/life insurance,skilled employee / official,own,2,2,
496,1,existing loans paid back duly till now,Purchase of radio/television,5951,none,between 1 and 4 years,female and divorced/seperated/married,1,22,between 0 and 200,less than 100,2,none,Yes,No,48,Real Estate,skilled employee / official,own,2,2,
497,1,delay in paying off loans in the past,Purchase of furniture/equipment,1591,none,greater than 4 years,male and single,2,34,no current account,between 100 and 500,4,none,Yes,No,21,Real Estate,management/ self-employed/highly qualified employee/ officer,own,3,1,
498,2,critical account/other loans existing (not at this bank),Purchase of radio/television,1544,none,greater than 4 years,male and single,3,42,no current account,less than 100,2,none,Yes,No,4,Real Estate,unskilled - resident,own,1,1,
499,2,delay in paying off loans in the past,New Car Purchase,4870,none,between 1 and 4 years,male and single,2,53,less than 0,less than 100,3,none,Yes,No,24,No property,skilled employee / official,for free,4,2,
500,1,existing loans paid back duly till now,Purchase of radio/television,6468,none,unemployed,male and single,1,52,between 0 and 200,no savings account,2,none,Yes,Yes,12,No property,management/ self-employed/highly qualified employee/ officer,own,1,2,
501,1,existing loans paid back duly till now,Purchase of radio/television,3660,none,between 1 and 4 years,female and divorced/seperated/married,1,28,less than 0,less than 100,2,none,Yes,No,24,car or other property,skilled employee / official,own,4,1,
502,1,critical account/other loans existing (not at this bank),Purchase of radio/television,1169,none,between 1 and 4 years,male and single,2,29,no current account,no savings account,4,none,Yes,Yes,18,building society savings agreement/life insurance,skilled employee / official,own,3,1,
503,1,critical account/other loans existing (not at this bank),Old Car Repair,5800,none,between 1 and 4 years,male and single,2,34,between 0 and 200,less than 100,3,none,Yes,Yes,36,car or other property,skilled employee / official,own,4,1,
504,1,existing loans paid back duly till now,Purchase of furniture/equipment,5179,none,greater than 4 years,male and single,1,29,less than 0,less than 100,4,none,Yes,No,36,building society savings agreement/life insurance,skilled employee / official,own,2,2,
505,1,existing loans paid back duly till now,New Car Purchase,1318,none,,male and single,1,54,between 0 and 200,greater than 1000,4,none,Yes,Yes,12,Real Estate,skilled employee / official,own,4,1,
506,2,delay in paying off loans in the past,Loan for business establishment,2978,none,between 1 and 4 years,male and single,2,32,no current account,no savings account,4,none,Yes,Yes,24,Real Estate,skilled employee / official,own,4,1,
507,1,existing loans paid back duly till now,Purchase of furniture/equipment,1922,none,between 1 and 4 years,male and single,1,37,between 0 and 200,less than 100,4,none,Yes,No,12,building society savings agreement/life insurance,unskilled - resident,own,2,2,
508,1,existing loans paid back duly till now,Purchase of radio/television,1345,none,between 1 and 4 years,male and married/widowed,1,26,less than 0,less than 100,4,bank,Yes,No,18,Real Estate,skilled employee / official,own,3,2,
509,1,critical account/other loans existing (not at this bank),New Car Purchase,7855,none,between 1 and 4 years,female and divorced/seperated/married,2,25,no current account,less than 100,4,stores,Yes,Yes,36,Real Estate,skilled employee / official,own,2,2,
510,2,existing loans paid back duly till now,New Car Purchase,1546,none,between 1 and 4 years,male and single,1,31,no current account,less than 100,3,none,No,No,10,Real Estate,unskilled - resident,own,2,1,
511,1,existing loans paid back duly till now,New Car Purchase,7408,none,less than a year,female and divorced/seperated/married,1,24,between 0 and 200,between 100 and 500,4,none,Yes,No,60,building society savings agreement/life insurance,management/ self-employed/highly qualified employee/ officer,own,2,2,
512,1,all loans at this bank paid back duly,Loan for business establishment,1559,none,greater than 4 years,male and single,1,50,no current account,less than 100,4,bank,Yes,Yes,24,car or other property,skilled employee / official,own,4,1,
513,1,existing loans paid back duly till now,New Car Purchase,5866,none,between 1 and 4 years,male and single,2,30,between 0 and 200,between 100 and 500,2,none,Yes,Yes,18,car or other property,skilled employee / official,own,2,1,
514,1,existing loans paid back duly till now,Old Car Repair,5433,none,unemployed,female and divorced/seperated/married,1,26,no current account,no savings account,2,none,Yes,Yes,24,building society savings agreement/life insurance,management/ self-employed/highly qualified employee/ officer,rent,4,1,
515,2,critical account/other loans existing (not at this bank),New Car Purchase,3124,none,less than a year,male and single,2,49,between 0 and 200,less than 100,1,bank,Yes,No,12,Real Estate,unskilled - resident,own,3,1,
516,2,critical account/other loans existing (not at this bank),Loan for business establishment,2442,none,,male and single,4,43,less than 0,less than 100,4,stores,Yes,Yes,27,car or other property,management/ self-employed/highly qualified employee/ officer,own,4,1,
517,1,critical account/other loans existing (not at this bank),New Car Purchase,1940,none,,male and single,1,60,no current account,greater than 1000,4,none,Yes,Yes,24,Real Estate,skilled employee / official,own,4,1,
518,2,existing loans paid back duly till now,Purchase of furniture/equipment,2864,none,between 1 and 4 years,male and single,1,34,greater than 200,less than 100,2,none,Yes,No,18,Real Estate,unskilled - resident,own,1,2,
519,1,existing loans paid back duly till now,Purchase of furniture/equipment,1980,co-applicant,less than a year,female and divorced/seperated/married,2,19,no current account,less than 100,2,none,Yes,No,9,car or other property,skilled employee / official,rent,2,2,
520,1,existing loans paid back duly till now,New Car Purchase,1101,none,between 1 and 4 years,male and married/widowed,2,27,no current account,less than 100,3,none,Yes,Yes,12,Real Estate,skilled employee / official,own,2,1,
521,1,no loans taken/all loans paid back duly,Loan for business establishment,11816,none,,male and single,2,29,less than 0,less than 100,2,none,Yes,No,45,car or other property,skilled employee / official,rent,4,2,
522,1,critical account/other loans existing (not at this bank),Purchase of furniture/equipment,2406,none,unemployed,male and single,1,31,no current account,less than 100,2,none,Yes,No,9,car or other property,management/ self-employed/highly qualified employee/ officer,own,3,1,
523,1,critical account/other loans existing (not at this bank),New Car Purchase,3499,co-applicant,between 1 and 4 years,female and divorced/seperated/married,2,29,less than 0,less than 100,3,none,Yes,No,12,Real Estate,skilled employee / official,own,2,2,
524,1,delay in paying off loans in the past,Purchase of radio/television,585,co-applicant,between 1 and 4 years,male and married/widowed,2,20,between 0 and 200,less than 100,4,none,Yes,No,12,Real Estate,skilled employee / official,rent,4,1,
525,1,delay in paying off loans in the past,New Car Purchase,8086,none,,male and single,4,42,between 0 and 200,between 100 and 500,2,none,Yes,Yes,36,car or other property,management/ self-employed/highly qualified employee/ officer,own,4,2,
526,1,critical account/other loans existing (not at this bank),New Car Purchase,1038,co-applicant,greater than 4 years,male and single,2,49,less than 0,less than 100,4,none,Yes,Yes,10,building society savings agreement/life insurance,skilled employee / official,own,3,1,
527,1,existing loans paid back duly till now,New Car Purchase,3518,gaurantor,between 1 and 4 years,male and single,1,26,no current account,less than 100,2,none,Yes,No,6,building society savings agreement/life insurance,skilled employee / official,rent,3,1,
528,1,critical account/other loans existing (not at this bank),Purchase of furniture/equipment,4272,none,,female and divorced/seperated/married,2,24,less than 0,less than 100,1,none,Yes,No,20,building society savings agreement/life insurance,skilled employee / official,own,4,1,
529,1,existing loans paid back duly till now,Purchase of radio/television,709,none,,male and single,1,57,less than 0,less than 100,4,stores,Yes,No,12,Real Estate,unskilled - resident,own,4,2,
530,2,critical account/other loans existing (not at this bank),New Car Purchase,1344,none,greater than 4 years,male and single,2,37,greater than 200,no savings account,4,bank,Yes,No,24,Real Estate,unskilled - resident,own,2,2,
531,1,existing loans paid back duly till now,New Car Purchase,8978,none,,male and divorced/seperated,1,45,less than 0,less than 100,1,none,No,Yes,14,building society savings agreement/life insurance,management/ self-employed/highly qualified employee/ officer,own,4,2,
532,1,existing loans paid back duly till now,Education Loan,1200,none,between 1 and 4 years,female and divorced/seperated/married,1,23,less than 0,no savings account,4,bank,Yes,Yes,12,building society savings agreement/life insurance,skilled employee / official,rent,4,1,
533,1,critical account/other loans existing (not at this bank),Purchase of furniture/equipment,3780,none,less than a year,male and divorced/seperated,2,35,no current account,less than 100,3,none,Yes,Yes,18,car or other property,management/ self-employed/highly qualified employee/ officer,own,2,1,
534,1,critical account/other loans existing (not at this bank),Purchase of furniture/equipment,1872,none,unemployed,male and single,3,36,less than 0,less than 100,4,none,Yes,Yes,6,No property,management/ self-employed/highly qualified employee/ officer,for free,4,1,
535,2,delay in paying off loans in the past,New Car Purchase,2538,none,,male and single,2,47,no current account,less than 100,4,none,Yes,No,24,car or other property,unskilled - resident,own,4,2,
536,1,all loans at this bank paid back duly,Purchase of radio/television,2149,none,between 1 and 4 years,male and divorced/seperated,1,29,less than 0,less than 100,4,none,Yes,No,12,No property,skilled employee / official,for free,1,2,
537,1,critical account/other loans existing (not at this bank),Old Car Repair,2360,none,between 1 and 4 years,male and single,1,36,greater than 200,between 500 and 1000,2,none,Yes,Yes,15,car or other property,skilled employee / official,own,2,1,
538,1,existing loans paid back duly till now,Old Car Repair,7814,none,greater than 4 years,male and single,1,38,no current account,less than 100,3,none,Yes,Yes,24,car or other property,management/ self-employed/highly qualified employee/ officer,own,3,1,
539,1,existing loans paid back duly till now,New Car Purchase,1246,none,less than a year,male and single,1,23,between 0 and 200,less than 100,4,stores,Yes,No,24,Real Estate,unskilled - resident,own,2,2,
540,2,critical account/other loans existing (not at this bank),Purchase of radio/television,3074,none,between 1 and 4 years,male and single,2,33,no current account,no savings account,1,none,Yes,No,9,Real Estate,skilled employee / official,own,2,1,
541,1,delay in paying off loans in the past,Loan for business establishment,2169,none,between 1 and 4 years,male and married/widowed,1,28,no current account,less than 100,4,none,Yes,Yes,18,car or other property,skilled employee / official,own,2,2,
542,2,existing loans paid back duly till now,Loan for retraining,1238,none,unemployed,male and single,1,36,no current account,no savings account,4,none,Yes,Yes,6,building society savings agreement/life insurance,management/ self-employed/highly qualified employee/ officer,own,4,1,
543,2,existing loans paid back duly till now,New Car Purchase,3931,none,greater than 4 years,male and single,1,46,less than 0,less than 100,4,none,Yes,No,48,No property,skilled employee / official,for free,4,2,
544,1,existing loans paid back duly till now,Purchase of radio/television,3416,none,between 1 and 4 years,male and single,1,27,less than 0,less than 100,3,none,Yes,No,27,car or other property,management/ self-employed/highly qualified employee/ officer,own,2,1,
545,1,critical account/other loans existing (not at this bank),Purchase of radio/television,1154,none,,male and single,3,37,between 0 and 200,less than 100,2,none,Yes,No,9,Real Estate,unskilled - resident,own,4,1,
546,1,existing loans paid back duly till now,Purchase of radio/television,3077,none,between 1 and 4 years,male and single,1,52,no current account,less than 100,2,none,Yes,Yes,12,car or other property,skilled employee / official,own,4,1,
547,1,critical account/other loans existing (not at this bank),Purchase of radio/television,1800,none,between 1 and 4 years,male and single,2,24,no current account,less than 100,4,none,Yes,No,18,car or other property,skilled employee / official,own,2,1,
548,1,critical account/other loans existing (not at this bank),Loan for business establishment,3652,none,greater than 4 years,male and single,2,27,between 0 and 200,less than 100,2,none,Yes,No,21,building society savings agreement/life insurance,skilled employee / official,own,3,1,
549,1,existing loans paid back duly till now,,1755,gaurantor,,female and divorced/seperated/married,1,58,less than 0,less than 100,4,none,Yes,Yes,24,Real Estate,unskilled - resident,own,4,1,
550,1,critical account/other loans existing (not at this bank),Education Loan,6110,none,between 1 and 4 years,male and single,1,31,no current account,less than 100,1,bank,Yes,Yes,48,No property,skilled employee / official,for free,3,1,
551,1,existing loans paid back duly till now,Old Car Repair,3386,none,,male and single,1,35,less than 0,less than 100,3,none,Yes,Yes,12,No property,skilled employee / official,for free,4,2,
552,1,existing loans paid back duly till now,New Car Purchase,6560,none,greater than 4 years,male and single,1,24,between 0 and 200,between 100 and 500,3,none,Yes,No,48,building society savings agreement/life insurance,skilled employee / official,own,2,2,
553,1,critical account/other loans existing (not at this bank),Purchase of radio/television,1347,none,greater than 4 years,male and single,2,27,greater than 200,no savings account,4,none,Yes,Yes,10,building society savings agreement/life insurance,skilled employee / official,own,2,1,
554,2,existing loans paid back duly till now,New Car Purchase,1525,none,greater than 4 years,female and divorced/seperated/married,1,34,no current account,greater than 1000,4,none,Yes,Yes,24,car or other property,skilled employee / official,own,3,1,
555,1,existing loans paid back duly till now,New Car Purchase,1285,none,greater than 4 years,female and divorced/seperated/married,1,32,less than 0,no savings account,4,none,Yes,No,24,No property,skilled employee / official,rent,4,2,
556,1,existing loans paid back duly till now,Purchase of radio/television,2299,none,,male and single,1,39,no current account,between 500 and 1000,4,none,Yes,No,36,car or other property,skilled employee / official,own,4,1,
557,1,critical account/other loans existing (not at this bank),New Car Purchase,3966,none,,female and divorced/seperated/married,3,33,less than 0,less than 100,1,bank,Yes,Yes,18,Real Estate,skilled employee / official,rent,4,2,
558,2,existing loans paid back duly till now,Purchase of radio/television,2647,none,between 1 and 4 years,male and single,1,44,less than 0,between 500 and 1000,2,none,Yes,No,6,Real Estate,skilled employee / official,rent,3,1,
559,1,critical account/other loans existing (not at this bank),New Car Purchase,1393,none,less than a year,female and divorced/seperated/married,2,35,no current account,less than 100,4,none,Yes,No,11,car or other property,management/ self-employed/highly qualified employee/ officer,own,4,1,
560,2,existing loans paid back duly till now,New Car Purchase,6527,none,between 1 and 4 years,male and single,1,34,no current account,no savings account,4,none,Yes,Yes,60,No property,skilled employee / official,for free,4,1,
561,1,existing loans paid back duly till now,New Car Purchase,836,none,less than a year,female and divorced/seperated/married,1,23,between 0 and 200,between 100 and 500,4,bank,Yes,No,12,building society savings agreement/life insurance,unskilled - resident,own,2,2,
562,1,existing loans paid back duly till now,New Car Purchase,1418,none,between 1 and 4 years,male and single,1,35,no current account,between 100 and 500,3,none,No,No,10,Real Estate,unskilled - resident,rent,2,1,
